"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"03/16/2019","AQS","220710021","1","0.2","ppm","2","I-610","24","100.0000","42101","Carbon monoxide","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"03/17/2019","AQS","220710021","1","0.2","ppm","2","I-610","24","100.0000","42101","Carbon monoxide","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"03/18/2019","AQS","220710021","1","0.3","ppm","3","I-610","24","100.0000","42101","Carbon monoxide","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"03/19/2019","AQS","220710021","1","0.8","ppm","9","I-610","11","46.0000","42101","Carbon monoxide","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"03/20/2019","AQS","220710021","1","0.8","ppm","9","I-610","24","100.0000","42101","Carbon monoxide","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"03/21/2019","AQS","220710021","1","0.4","ppm","5","I-610","24","100.0000","42101","Carbon monoxide","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"03/22/2019","AQS","220710021","1","0.3","ppm","3","I-610","24","100.0000","42101","Carbon monoxide","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"03/23/2019","AQS","220710021","1","0.6","ppm","7","I-610","24","100.0000","42101","Carbon monoxide","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"03/24/2019","AQS","220710021","1","0.4","ppm","5","I-610","24","100.0000","42101","Carbon monoxide","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"03/25/2019","AQS","220710021","1","0.4","ppm","5","I-610","24","100.0000","42101","Carbon monoxide","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"03/26/2019","AQS","220710021","1","0.3","ppm","3","I-610","17","71.0000","42101","Carbon monoxide","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"03/27/2019","AQS","220710021","1","0.4","ppm","5","I-610","24","100.0000","42101","Carbon monoxide","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"03/28/2019","AQS","220710021","1","0.4","ppm","5","I-610","24","100.0000","42101","Carbon monoxide","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"03/29/2019","AQS","220710021","1","0.4","ppm","5","I-610","24","100.0000","42101","Carbon monoxide","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"03/30/2019","AQS","220710021","1","0.3","ppm","3","I-610","24","100.0000","42101","Carbon monoxide","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"03/31/2019","AQS","220710021","1","0.3","ppm","3","I-610","24","100.0000","42101","Carbon monoxide","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"04/01/2019","AQS","220710021","1","0.2","ppm","2","I-610","24","100.0000","42101","Carbon monoxide","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"04/02/2019","AQS","220710021","1","0.2","ppm","2","I-610","20","83.0000","42101","Carbon monoxide","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"04/03/2019","AQS","220710021","1","0.4","ppm","5","I-610","24","100.0000","42101","Carbon monoxide","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"04/04/2019","AQS","220710021","1","0.3","ppm","3","I-610","24","100.0000","42101","Carbon monoxide","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"04/05/2019","AQS","220710021","1","0.4","ppm","5","I-610","18","75.0000","42101","Carbon monoxide","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"04/06/2019","AQS","220710021","1","0.3","ppm","3","I-610","24","100.0000","42101","Carbon monoxide","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"04/07/2019","AQS","220710021","1","0.3","ppm","3","I-610","24","100.0000","42101","Carbon monoxide","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"04/08/2019","AQS","220710021","1","0.2","ppm","2","I-610","24","100.0000","42101","Carbon monoxide","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
