Date,0-17,18-44,45-64,65-74,75+,All ages
2020-02-20,20.498905076737,8.22035173273809,7.78191948826098,6.43668164744721,11.3350701585996,10.6920698180253
2020-02-21,20.7305311228018,7.9829408523702,7.1982755266414,7.86705534687993,9.14118561177385,10.4777521602029
2020-02-22,20.2672790306721,6.85523917062274,5.64189162898921,5.86453216767413,10.9694227341286,9.50141616345674
2020-02-23,19.3986813579291,7.30038457131252,7.53873450425282,7.15186849716357,9.32400932400932,9.96577108873846
2020-02-24,21.1937832149314,8.69517349347386,7.1982755266414,6.86579375727703,13.5289547054253,11.0611724509415
2020-02-25,20.9042506573504,8.69517349347386,7.00372753943488,8.15313008676647,12.249188719777,10.9778266951217
2020-02-26,20.7305311228018,7.47844273158844,7.68464549465771,8.29616745670974,12.7976598564834,10.6682567449339
2020-02-27,17.3719534548618,8.30938081287604,6.61463156502183,8.0100927168232,11.1522464463641,9.91814494255572
2020-02-28,18.2984576391211,7.68617725191034,6.32280958421204,7.43794323705011,8.22706705059646,9.54904230963948
2020-02-29,19.5724008924777,6.32106468979499,5.88507661299736,6.15060690756067,8.77553818730289,9.08468738435776
2020-03-01,21.7149418185773,6.67718101034682,5.7878026193941,7.0088311272203,7.86141962612551,9.65620113855065
2020-03-02,28.663723200522,9.55578793480745,9.19239239550828,8.58224219659628,12.9804835687189,13.537732052444
2020-03-03,22.6414460028366,9.55578793480745,9.3869403827148,6.86579375727703,13.1633072809543,12.216106495873
2020-03-04,24.3207348368066,9.91190425535928,8.80329642109523,7.29490586710684,10.4209515974222,12.4185176171496
2020-03-05,24.0312022792255,11.5441040578885,9.19239239550828,5.43542005784431,12.4320124320124,13.085283663708
2020-03-06,11.6392088147574,11.4847513377965,10.6515022995572,12.3012138151213,21.2075506193153,12.025601911142
2020-03-07,21.077970191899,8.54679169324393,6.51735757141857,7.72401797693666,8.04424333836099,10.5253783063857
2020-03-08,24.147015302258,8.10164629255414,7.68464549465771,5.29238268790104,11.1522464463641,11.2635835722181
2020-03-09,29.6481338962975,13.4137147407856,12.5483451748208,10.5847653758021,12.6148361442479,16.2524223848602
2020-03-10,28.0267515738438,15.1646199834988,13.5697221076551,10.1556532659723,14.6258969788382,16.9668145776013
2020-03-11,28.9532557581031,18.903841349293,15.9042979541334,12.5872885550079,11.3350701585996,19.2171499847358
2020-03-12,33.5278701678833,25.7590805199157,18.0443258134051,16.7353722833628,15.3571918277801,24.0392972857383
