M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36,M37,M38,M39,M40,M41,M42,M43,M44,M45,M46,M47,M48,M49,M50,M51,M52,M53,M54,M55,M56
1.90476190476191,240.7,4.58484251065976,14.5,3.7,89.119,9.59214501510574,2,768,922,1499,2062,2458,71,87,10,3,43622,6034,720,50477,55608,5334,0,494252,7709,2,0,43584,39488,965,166,283,17,4,642,2019,40923,990,180,283,17,484,707,43584,8427,5011,5180,3189,43584,41565,17257,4520,2432434270.34375,197367.910494531,105
0,97.92,0,17.1,3.8,90.9781,4.40674231574309,0,321,314,647,857,967,75,63,6,2,19404,3229,364,45661,9077,400,0,182101,3106,1,0,19232,16871,1417,26,45,68,25,261,519,17218,1423,26,45,68,166,286,19232,3848,2326,2120,1282,19232,18713,7832,1824,1431550524.125,194858.757671914,19
0,81.38,0,8.7,2.7,118.6941,0,0,0,0,0,0,0,0,0,0,0,35634,3059,527,65969,0,0,0,45617,0,1,0,35277,33389,265,53,228,0,47,718,577,33730,265,120,228,0,60,874,35277,5525,3444,3917,2996,35277,34700,14926,4469,1286068729.5,845980.282106217,29
12.7659574468085,230.57,29.4341288724276,9.5,6.3,103.8999,6.11262298513712,12,1169,1243,1567,2316,3303,25,25,4,2,40769,3807,1323,58345,33439,2044,0,349725,9598,2,5,40709,37579,467,78,75,3,59,402,2046,38906,467,90,75,3,555,613,40709,6189,4218,3719,3979,40709,38663,16985,5619,1224346646.96875,330337.468343946,94
8.63970588235294,273.88,23.6624426689222,17.6,6.2,84.452,6.11262298513712,47,5979,5045,6935,10078,13193,752,517,43,9,198627,34413,5469,47424,33439,2044,0,349725,41230,4,2,201794,176071,16448,272,987,9,155,4313,3539,178761,16775,304,990,9,274,4681,201794,34054,23856,22486,17959,201794,198255,80168,23271,2925178229.83594,216489.70344596,544
1.38888888888889,169.24,2.35061821258991,16.6,4.1,83.1692,5.37609238451935,1,1105,750,1231,1776,1991,99,108,9,3,42542,6885,857,45254,12816,689,0,165521,6853,0,0,42371,36014,1335,46,193,0,52,1056,3675,38606,1335,59,193,0,895,1283,42371,8763,5520,5478,3086,42371,38696,15757,3767,2926687010.41016,222421.357682811,72
0,0,0,12,3.6,76.1253,1.20606478290834,0,304,411,686,771,1160,29,24,4,1,21539,2544,354,54339,8706,105,0,200626,3332,0,0,21118,19395,141,379,12,16,0,99,1076,19932,149,379,12,16,510,120,21118,5225,2853,2407,1401,21118,20042,7301,1931,8182062484.35938,431604.765174264,0
6.45161290322581,173.04,11.1640784611434,6.5,4.3,136.1856,6.11262298513712,20,3493,3411,4940,7509,10319,191,150,15,4,179146,11474,4111,76475,33439,2044,0,349725,29672,3,1,177257,166613,2482,145,2165,17,112,2169,3554,168911,2580,233,2208,17,807,2501,177257,32813,21347,18903,11844,177257,173703,74522,17828,1931958019.82813,192154.062540094,310
0,55.49,0,10.9,3.3,105.4442,3.66518078256563,0,434,370,586,799,1271,25,25,4,2,23428,2512,485,66607,4038,148,0,116992,3460,1,0,23131,14764,124,130,350,5,0,478,7280,20031,124,160,350,5,1532,929,23131,4640,2941,2830,1390,23131,15851,9260,2070,2812055023.57813,239998.646983048,13
0,143.74,0,20.4,5.5,64.4757,3.85452746165265,0,611,590,576,1135,1673,49,39,6,3,27828,5065,549,48518,101050,3895,0,1736894,4585,0,0,27424,17172,758,1841,937,17,128,1231,5340,20958,785,2024,977,17,968,1695,27424,4980,3007,4081,1777,27424,22084,10771,2808,4721670495.61328,382530.127092686,40
