"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"03/13/2020","AQS","180970078","1","0.3","ppm","3","Indpls- Washington Park/  in parking lot next to police station","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"03/14/2020","AQS","180970078","1","0.5","ppm","6","Indpls- Washington Park/  in parking lot next to police station","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"03/15/2020","AQS","180970078","1","0.2","ppm","2","Indpls- Washington Park/  in parking lot next to police station","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"03/16/2020","AQS","180970078","1","0.2","ppm","2","Indpls- Washington Park/  in parking lot next to police station","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"03/17/2020","AQS","180970078","1","0.3","ppm","3","Indpls- Washington Park/  in parking lot next to police station","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"03/18/2020","AQS","180970078","1","0.3","ppm","3","Indpls- Washington Park/  in parking lot next to police station","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"03/19/2020","AQS","180970078","1","0.3","ppm","3","Indpls- Washington Park/  in parking lot next to police station","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"03/20/2020","AQS","180970078","1","0.3","ppm","3","Indpls- Washington Park/  in parking lot next to police station","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"03/21/2020","AQS","180970078","1","0.2","ppm","2","Indpls- Washington Park/  in parking lot next to police station","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"03/22/2020","AQS","180970078","1","0.2","ppm","2","Indpls- Washington Park/  in parking lot next to police station","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"03/23/2020","AQS","180970078","1","0.3","ppm","3","Indpls- Washington Park/  in parking lot next to police station","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"03/24/2020","AQS","180970078","1","0.2","ppm","2","Indpls- Washington Park/  in parking lot next to police station","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"03/25/2020","AQS","180970078","1","0.3","ppm","3","Indpls- Washington Park/  in parking lot next to police station","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"03/26/2020","AQS","180970078","1","0.3","ppm","3","Indpls- Washington Park/  in parking lot next to police station","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"03/27/2020","AQS","180970078","1","0.3","ppm","3","Indpls- Washington Park/  in parking lot next to police station","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"03/28/2020","AQS","180970078","1","0.3","ppm","3","Indpls- Washington Park/  in parking lot next to police station","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"03/29/2020","AQS","180970078","1","0.3","ppm","3","Indpls- Washington Park/  in parking lot next to police station","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"03/30/2020","AQS","180970078","1","0.2","ppm","2","Indpls- Washington Park/  in parking lot next to police station","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"03/31/2020","AQS","180970078","1","0.2","ppm","2","Indpls- Washington Park/  in parking lot next to police station","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"04/01/2020","AQS","180970078","1","0.2","ppm","2","Indpls- Washington Park/  in parking lot next to police station","2","8.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
