train1,train2,train3,train4,train5,train6,train7,train8,train9,train10,train11
28,25,3,60.2857142857143,23.2857142857143,8.23809523809524,369.380952380952,5982,5.232222999,59.5,3
53,951,12779,0,0,0,0,556341,5413.430445,52.7,14492
33,65,3,328.428571428571,242.52380952381,72.3333333333333,3373.2380952381,23491,61.84662405,43.2,6
23,25,8,92.7619047619048,139.47619047619,42,1595.90476190476,24730,32.54500696,36.3,9
32,25,1,25.3809523809524,8.19047619047619,6.28571428571429,142.190476190476,4633,2.478924722,34.6,1
32,40,24,321.809523809524,251.142857142857,0,3544,47888,47.30628355,52.9,30
39,48,26,104.809523809524,134.857142857143,48.2380952380952,2025.38095238095,16700,66.76778045,66.2,45
47,1258,532,1921.38095238095,3129.09523809524,863.190476190476,39327.380952381,318316,484.5816193,69,682
45,470,293,1178.61904761905,1233.7619047619,328.380952380952,25876.4285714286,184945,388.3123743,58.3,369
29,90,6,322.428571428571,283.190476190476,96.5238095238095,3233.28571428571,45244,52.44179855,32.7,11
14,15,1,12.7142857142857,24.2380952380952,9.90476190476191,177,4298,3.911517826,23.8,1
36,22,24,80.8095238095238,50.6190476190476,14.9047619047619,1204.66666666667,12728,14.13741659,57.4,36
8,25,1,5.85714285714286,4.90476190476191,2.61904761904762,54.7619047619048,2126,1.494571827,31.8,1
38,32,30,190.666666666667,141.380952380952,33.2380952380952,2519.09523809524,56786,116.5925624,53.1,32
44,32,14,475.714285714286,374.380952380952,93,4516.47619047619,66972,135.0666854,35.2,197
41,25,219,74.0476190476191,89,28.1904761904762,1694.61904761905,22786,39.08394902,63.6,351
33,17,1,8.28571428571429,45.7142857142857,20.7619047619048,1314.52380952381,9754,2.655703293,43.9,1
45,25,61,0,0,0,0,36777,47.99119877,33.8,62
35,25,1020,42.0476190476191,44.9523809523809,6.85714285714286,470.428571428571,11284,98.68667517,53.7,1382
45,89,260,0,0,0,0,70180,100.3700223,43.3,304
50,759,502,1605.33333333333,2297.95238095238,526.142857142857,36958.9523809524,332285,536.4918538,55.2,814
42,262,231,467.380952380952,382.571428571429,65.7142857142857,5653.57142857143,134159,189.9522891,48.3,290
8,20,6,8.04761904761905,27.3333333333333,11.5238095238095,259.52380952381,4033,4.123352969,37.1,22
0,17,0,62.1904761904762,33.7142857142857,18.1904761904762,301.238095238095,6089,9.396872324,52.8,13
39,15,13,43.1904761904762,26,17.4285714285714,497.857142857143,8210,19.63256015,59.7,19
46,507,2292,1721.33333333333,1154.61904761905,124.857142857143,17380.5238095238,234225,250.2156437,55.2,3565
35,20,9,1.19047619047619,96.2380952380952,26.1428571428571,1193.09523809524,18500,7.563233682,52.8,14
38,39,32,91.2380952380952,178.238095238095,47.3809523809524,2566.28571428571,25126,60.54834598,59.2,36
37,22,15,45.5714285714286,37.3809523809524,11.2380952380952,414.047619047619,8445,2.03290494,33.9,15
38,74,54,270.095238095238,241.47619047619,31.5714285714286,3863.28571428571,75677,124.5132314,54,106
10,47,0,137.809523809524,96.9047619047619,33.0476190476191,1407.47619047619,25398,21.57371591,50.7,0
42,376,35,404,805.190476190476,244.571428571429,6414.61904761905,65884,163.9954769,51.1,60
37,24,11,90.5714285714286,68.9523809523809,17.0952380952381,766.095238095238,26467,51.67941778,36.3,46
35,50,60,304.238095238095,388.761904761905,73,4078.61904761905,36565,69.15764048,36.5,225
34,25,92,196.904761904762,92.6666666666667,20.2857142857143,2829.90476190476,42022,36.34167203,72.9,180
50,25,1,12.1428571428571,8.66666666666667,2.57142857142857,113.857142857143,3985,4.587921714,37.2,1
46,169,32,237.904761904762,499.619047619048,92.3809523809524,7031,93053,137.8191953,44.4,51
56,1243,1677,2687.09523809524,4419.28571428571,729.333333333333,71821.6666666667,760141,2237.74733,59.1,2395
31,25,3,67.8571428571429,71.2380952380952,23.9047619047619,590.714285714286,10586,22.56502583,61,4
27,14,1,12,7.66666666666667,4.95238095238095,78.5238095238095,3241,2.145739814,32.3,1
38,270,40,394.095238095238,689.666666666667,186.666666666667,8518.47619047619,83518,228.0291981,34.9,45
41,69,47,92.0476190476191,146.285714285714,45.0952380952381,2871.57142857143,26658,45.24707061,66.4,75
24,25,6,142.666666666667,136.285714285714,42.3333333333333,1774.04761904762,19620,34.12756107,38,83
101,4217,6274,6818.04761904762,9475.33333333333,1915.42857142857,130646.142857143,2252782,1064.847047,39.4,7325
37,111,183,448.761904761905,400.428571428571,115.047619047619,4724.47619047619,68122,128.3434679,39.2,222
34,92,11,147.047619047619,124.047619047619,28.6666666666667,3348.28571428571,28684,62.11093109,48.6,15
53,945,1846,783.047619047619,823.333333333333,9.47619047619048,22133.7142857143,936250,2175.104619,58,2597
36,25,44,43.5714285714286,69.0952380952381,28.952380952381,1108.95238095238,16831,1.745811087,39.4,71
22,25,1,34.7619047619048,24.3809523809524,6.90476190476191,698.238095238095,11993,19.38829396,57.2,2
40,105,11,486.238095238095,409.904761904762,15.952380952381,14028.380952381,55928,88.43208959,51.8,12
45,1977,293,2898.42857142857,5023.90476190476,994.666666666667,59696.4761904762,531687,1151.942774,49.9,489
33,25,13,124,52.3809523809524,14.1428571428571,1004.7619047619,10689,18.09792953,41.7,37
13,39,1,43.1428571428571,82.6190476190476,51.1904761904762,1608.85714285714,7306,10.49102385,56.5,2
50,343,393,1122.42857142857,1273.90476190476,364.619047619048,14046.4285714286,196311,590.3426541,38.4,920
27,172,2,359.333333333333,530.380952380952,225,6488.95238095238,44573,66.35073922,43,2
49,286,42,566.095238095238,739.47619047619,170.047619047619,8748.38095238095,102139,144.5302448,58.8,81
43,577,71,548.47619047619,1324,480.285714285714,10236.2380952381,85436,189.8784488,50.6,85
62,2413,6579,0,0,0,0,638931,1560.126906,42,9112
38,35,125,187,121.761904761905,52.6190476190476,1689.2380952381,22108,25.20932769,62.6,238
35,23,9,23.8571428571429,25.952380952381,5.28571428571429,263.952380952381,6861,16.30836514,62.8,26
58,305,416,832.095238095238,554.666666666667,0,9990.42857142857,238412,409.221773,66.1,462
51,457,219,678.761904761905,1939.2380952381,614.095238095238,21774.7142857143,74897,160.7087432,67.8,380
47,47,62,158,194.666666666667,38.6666666666667,4073.09523809524,47632,100.497116,44.6,78
15,8,4,45.0476190476191,30.3333333333333,8.38095238095238,563.428571428571,17766,55.57017223,35.2,4
28,99,9,244.095238095238,315.047619047619,87.1428571428571,2849,33657,65.03484258,50.6,18
51,535,435,803.952380952381,1219.04761904762,347.333333333333,9382.47619047619,161075,119.9520804,33.1,1641
37,134,128,329.238095238095,453.857142857143,36.6666666666667,4284.61904761905,35734,40.02064378,67,170
23,25,3,76.9047619047619,84.1428571428571,28.9047619047619,834.238095238095,16558,13.16941672,31.4,4
35,94,23,141.285714285714,46.0952380952381,9.52380952380952,1383.90476190476,23091,110.0959642,54.1,26
31,25,11,56,105,19.0952380952381,1541.47619047619,8688,21.28941367,64.1,30
40,145,209,330.904761904762,493.333333333333,70.6190476190476,8258.95238095238,143667,183.6445256,44.3,422
30,56,3,69.6190476190476,132.714285714286,47.6666666666667,1749.7619047619,25239,33.14811529,30.3,5
42,120,77,211,306.238095238095,49.2857142857143,3144.28571428571,60760,47.84132758,43.6,106
5,42,1,28.8095238095238,28.3809523809524,4.85714285714286,782.666666666667,11096,7.94934314,58.9,1
49,3683,816,4327.28571428571,9287.80952380952,2379.57142857143,111236.904761905,797434,1125.009546,55.8,1035
0,25,0,56.0476190476191,37.7142857142857,14.1428571428571,470.619047619048,7000,8.464616952,53.1,3
0,25,0,37.3333333333333,52.3333333333333,0,426.52380952381,5192,7.562408364,50.3,3
0,25,0,208.285714285714,191.619047619048,40.7619047619048,2631.2380952381,38355,62.69852115,55.3,7
26,25,20,103.904761904762,128,30.952380952381,1443.85714285714,15115,45.69639057,57.8,24
48,391,165,1478.14285714286,1710.95238095238,253.380952380952,27901.6666666667,230191,339.5211495,66.8,219
50,612,349,857.047619047619,1163.2380952381,30.3809523809524,15132.8571428571,253370,464.4743739,52.8,492
36,10,2,50.7619047619048,81.2380952380952,18.5238095238095,989.619047619048,17883,96.06261932,50.2,3
39,25,200,100.380952380952,166.952380952381,35.0476190476191,2255.95238095238,26559,71.28634826,55.9,216
