train1,train2,train3,train4,train5,train6,train7,train8,train9,train10,train11
47,637,6,860.095238095238,1551.71428571429,468.809523809524,16254.9523809524,209689,210.4812021,44,7
42,25,0,50.3333333333333,96.6190476190476,22.6190476190476,1169.19047619048,22068,41.45764334,51.6,0
45,25,2,56.9523809523809,75.5714285714286,19.3333333333333,1175.19047619048,27735,73.64768618,48,4
55,1519,40,3751.47619047619,6631.85714285714,844.285714285714,78615.5714285714,602401,1272.34596,33.9,55
53,295,54,899.285714285714,760.666666666667,182.428571428571,12057.5238095238,170271,279.9314539,35.6,70
53,1957,49,2693.66666666667,3435.80952380952,313.238095238095,60960.7619047619,759297,2837.174357,54.3,80
37,182,1,728.47619047619,951,145.238095238095,15547.7619047619,104915,825.4085671,62.6,5
39,31,3,0.0476190476190476,0,0,598.809523809524,26675,5.87570328,42.7,4
36,44,0,5.71428571428571,18.4761904761905,10.4285714285714,79.2857142857143,2497,2.561727447,57.8,0
40,137,0,514.047619047619,561.571428571429,104.47619047619,6640.28571428571,87808,78.93067451,37.1,0
35,260,0,202.52380952381,344.666666666667,74.3809523809524,4844.14285714286,76117,58.17740674,39.2,0
38,50,1,45.3333333333333,31.5238095238095,16.1428571428571,358.428571428571,18010,19.69448817,59.9,1
5,16,0,34.2380952380952,39.3333333333333,16.3333333333333,355.47619047619,4158,7.31980645,40.9,0
34,70,0,237.190476190476,115.952380952381,65.5238095238095,2224.42857142857,40596,93.16488432,34.4,0
32,47,0,299.190476190476,232.190476190476,47.1428571428571,1937.95238095238,35871,41.64630621,30.3,0
37,134,4,253.095238095238,402.809523809524,106.428571428571,5326.90476190476,84073,101.6559918,42.9,6
51,71,0,72.1904761904762,190.666666666667,37.3809523809524,1901.47619047619,30485,12.08110847,33.7,0
31,25,0,123.047619047619,97.6190476190476,31.3333333333333,1565.90476190476,21672,23.44198755,47.4,0
37,282,0,372.714285714286,434.047619047619,17.7142857142857,8867.42857142857,86215,129.7229329,45.9,0
1,22,0,115.857142857143,39.9523809523809,12.8095238095238,616.571428571429,9208,23.25948195,32.9,0
51,1990,5,1839.71428571429,2638.57142857143,0,43023.8095238095,382295,937.5320997,55.1,7
43,49,21,267.095238095238,256.809523809524,26.9047619047619,4805.85714285714,33745,55.59869155,61.2,33
35,25,0,55.5238095238095,42.3809523809524,3.71428571428571,557.52380952381,10076,17.8091027,54.2,0
55,231,15,2047.2380952381,811,64.3809523809524,16582.1428571429,255441,584.3965631,47.6,32
23,17,0,0,0,0,0,8935,9.811506584,60.1,0
1,11,0,56.8571428571429,39.6190476190476,11.047619047619,462.952380952381,7870,14.79652236,55.9,0
49,1896,22,1955.57142857143,2939.80952380952,309.380952380952,34256.1904761905,522798,296.3811505,37.8,30
49,16,0,63.5714285714286,53.8571428571429,0,550.714285714286,14548,14.8008344,29.1,0
38,74,0,72.9047619047619,49.8571428571429,0,918.285714285714,42343,4.061006002,32.5,0
35,169,1,101.857142857143,194.380952380952,53.3333333333333,2090.66666666667,38438,63.97442473,42.5,1
32,30,0,6.23809523809524,3.61904761904762,2.38095238095238,41.7619047619048,2274,1.370580813,38.3,0
42,267,6,616.809523809524,784.285714285714,274.666666666667,11547.2380952381,187853,238.2122959,43.1,6
36,58,4,117.238095238095,169.428571428571,53.1904761904762,3639.71428571429,29118,51.07217279,63.4,19
30,25,1,94.1904761904762,60.0952380952381,24.1904761904762,913,24913,73.67598269,39,4
42,102,0,0,0,0,0,82082,801.2844764,42.8,0
43,577,4,548.47619047619,1324,480.285714285714,10236.2380952381,85436,189.8784488,50.6,4
38,74,2,270.095238095238,241.47619047619,31.5714285714286,3863.28571428571,75677,124.5132314,54,5
50,2799,29,4303.7619047619,5119.66666666667,837.047619047619,86346.0952380952,1160437,1563.820877,41.3,52
33,25,0,116.047619047619,100.095238095238,22.6666666666667,1692.90476190476,15117,18.86776857,52.8,0
37,25,13,99.2380952380952,108.333333333333,7.14285714285714,1267.90476190476,40352,103.1326374,30.6,20
22,25,0,34.7619047619048,24.3809523809524,6.90476190476191,698.238095238095,11993,19.38829396,57.2,0
36,18,0,139.952380952381,172,50.2380952380952,2515.61904761905,7805,3.486629702,35.9,0
30,72,0,320.333333333333,345,44.5714285714286,4093.28571428571,40482,46.79084212,74.1,0
38,180,0,32.7619047619048,29.5714285714286,0,823.52380952381,15232,48.44942257,53.8,0
40,23,0,80.2380952380952,36.8095238095238,12.4285714285714,581.952380952381,11392,3.108136774,40.9,0
33,48,0,156.285714285714,217.809523809524,44.0476190476191,4496.90476190476,54839,16.63634288,28.2,0
38,44,2,407.571428571429,336.619047619048,29.0952380952381,4666.38095238095,49713,104.9596501,52.9,4
45,25,1,236.142857142857,158.666666666667,32.9047619047619,4344.90476190476,57146,272.5702711,37.9,1
25,69,0,170.47619047619,189.285714285714,42.1428571428571,2260.85714285714,43425,66.55893025,37.9,0
0,8,0,0,0,0,24.1428571428571,2756,1.405236912,37,0
50,675,46,1060.28571428571,682.47619047619,118.380952380952,13718.7619047619,168447,376.3334905,49.1,64
38,80,1,0,0,0,0,26404,44.21745607,55.9,3
38,25,0,115.285714285714,156.619047619048,58.4761904761905,1637.09523809524,20669,46.22605086,52.8,0
